fpr,tpr,threshold,sample_label
0.2939338713876595,0.8537509753650652,0.6190476190476191,sensitivity_score_le_5
0.2941942202551419,0.8539739159513989,0.6153846153846154,sensitivity_score_le_5
0.29428100321096934,0.8541968565377327,0.6111111111111112,sensitivity_score_le_5
0.3001822442072377,0.8579311113588228,0.6,sensitivity_score_le_5
0.3001822442072377,0.8579868465054064,0.5925925925925926,sensitivity_score_le_5
0.3002690271630652,0.8580425816519898,0.5909090909090909,sensitivity_score_le_5
0.3003558101188927,0.8580983167985732,0.5882352941176471,sensitivity_score_le_5
0.30070294194220254,0.8583769925314904,0.5833333333333334,sensitivity_score_le_5
0.3008765078538575,0.8584884628246572,0.5789473684210527,sensitivity_score_le_5
0.3008765078538575,0.8585441979712407,0.5769230769230769,sensitivity_score_le_5
0.302612166970407,0.8602162523687438,0.5714285714285714,sensitivity_score_le_5
0.30287251583788943,0.860383457808494,0.5625,sensitivity_score_le_5
0.3029592987937169,0.860383457808494,0.56,sensitivity_score_le_5
0.304434609042784,0.8610522795674953,0.5555555555555556,sensitivity_score_le_5
0.30452139199861145,0.8610522795674953,0.5517241379310345,sensitivity_score_le_5
0.30452139199861145,0.8611080147140787,0.55,sensitivity_score_le_5
0.3047817408660939,0.861275220153829,0.5454545454545454,sensitivity_score_le_5
0.30495530677774885,0.8613309553004125,0.5416666666666666,sensitivity_score_le_5
0.30530243860105877,0.8614424255935793,0.5384615384615384,sensitivity_score_le_5
0.30556278746854115,0.8615538958867461,0.5333333333333333,sensitivity_score_le_5
0.3057363533801961,0.8615538958867461,0.5294117647058824,sensitivity_score_le_5
0.3058231363360236,0.8615538958867461,0.5263157894736842,sensitivity_score_le_5
0.3059099192918511,0.8616096310333297,0.5238095238095238,sensitivity_score_le_5
0.3059099192918511,0.8616653661799131,0.52,sensitivity_score_le_5
0.3059099192918511,0.8617211013264965,0.5142857142857142,sensitivity_score_le_5
0.34218519482773585,0.8849069223052056,0.5,sensitivity_score_le_5
0.34218519482773585,0.8850183925983726,0.4761904761904761,sensitivity_score_le_5
0.34218519482773585,0.885074127744956,0.4736842105263157,sensitivity_score_le_5
0.3425323266510457,0.8851855980381228,0.4705882352941176,sensitivity_score_le_5
0.3429662414301831,0.8851855980381228,0.4666666666666667,sensitivity_score_le_5
0.34331337325349304,0.8852413331847063,0.4615384615384615,sensitivity_score_le_5
0.34426798576759526,0.8855200089176235,0.4545454545454545,sensitivity_score_le_5
0.34530938123752497,0.8861330955300413,0.4444444444444444,sensitivity_score_le_5
0.3454829471491799,0.8861888306766247,0.44,sensitivity_score_le_5
0.3457432960166623,0.8861888306766247,0.4375,sensitivity_score_le_5
0.3458300789724898,0.8861888306766247,0.4347826086956521,sensitivity_score_le_5
0.3483467846914866,0.8877494147809609,0.4285714285714285,sensitivity_score_le_5
0.3483467846914866,0.8878051499275443,0.4230769230769231,sensitivity_score_le_5
0.348607133558969,0.8879166202207112,0.4210526315789473,sensitivity_score_le_5
0.3491278312939339,0.8880838256604615,0.4166666666666667,sensitivity_score_le_5
0.3491278312939339,0.8881952959536283,0.4117647058823529,sensitivity_score_le_5
0.34921461424976136,0.8881952959536283,0.4054054054054054,sensitivity_score_le_5
0.35407445977609997,0.8900345557908818,0.4,sensitivity_score_le_5
0.35416124273192745,0.8900902909374652,0.3939393939393939,sensitivity_score_le_5
0.35450837455523737,0.8901460260840486,0.3888888888888889,sensitivity_score_le_5
0.35476872342271976,0.8903132315237989,0.3846153846153846,sensitivity_score_le_5
0.3549422893343747,0.8903689666703823,0.3809523809523809,sensitivity_score_le_5
0.35693829731840665,0.8906476424032995,0.375,sensitivity_score_le_5
0.35702508027423413,0.8907033775498829,0.3684210526315789,sensitivity_score_le_5
0.3571986461858891,0.8912049938691339,0.3636363636363636,sensitivity_score_le_5
0.35728542914171657,0.8912049938691339,0.36,sensitivity_score_le_5
0.35771934392085397,0.8913164641623007,0.3571428571428571,sensitivity_score_le_5
0.3578929098325089,0.8913721993088842,0.3529411764705882,sensitivity_score_le_5
